symbol,date,amount,type
LNC,2013-10-08,0.12,DIVIDEND
MMC,2013-10-09,0.25,DIVIDEND
UNM,2013-10-24,0.145,DIVIDEND
AON,2013-10-30,0.175,DIVIDEND
MET,2013-11-06,0.275,DIVIDEND
AFL,2013-11-18,0.37,DIVIDEND
PRU,2013-11-22,0.53,DIVIDEND
ALL,2013-11-26,0.25,DIVIDEND
L,2013-11-26,0.0625,DIVIDEND
HIG,2013-11-27,0.15,DIVIDEND
AJG,2013-12-02,0.35,DIVIDEND
RE,2013-12-02,0.75,DIVIDEND
AIG,2013-12-03,0.1,DIVIDEND
PFG,2013-12-05,0.26,DIVIDEND
TRV,2013-12-06,0.5,DIVIDEND
CINF,2013-12-16,0.42,DIVIDEND
CB,2013-12-18,0.44,DIVIDEND
WLTW,2013-12-27,0.28,DIVIDEND
GL,2013-12-31,0.17,DIVIDEND
LNC,2014-01-08,0.16,DIVIDEND
CB,2014-01-09,0.63,DIVIDEND
CB,2014-01-13,0.63,DIVIDEND
PGR,2014-01-27,0.4929,DIVIDEND
MMC,2014-01-27,0.25,DIVIDEND
UNM,2014-01-29,0.145,DIVIDEND
AON,2014-01-30,0.175,DIVIDEND
MET,2014-02-04,0.275,DIVIDEND
AFL,2014-02-12,0.37,DIVIDEND
PRU,2014-02-21,0.53,DIVIDEND
L,2014-02-27,0.0625,DIVIDEND
ALL,2014-02-27,0.28,DIVIDEND
AJG,2014-02-28,0.36,DIVIDEND
TRV,2014-03-06,0.5,DIVIDEND
PFG,2014-03-06,0.28,DIVIDEND
HIG,2014-03-06,0.15,DIVIDEND
AIG,2014-03-07,0.125,DIVIDEND
RE,2014-03-10,0.75,DIVIDEND
CB,2014-03-12,0.5,DIVIDEND
CINF,2014-03-17,0.44,DIVIDEND
CB,2014-03-26,0.63,DIVIDEND
WLTW,2014-03-27,0.3,DIVIDEND
GL,2014-04-01,0.19,DIVIDEND
ALL,2014-04-02,0.0,DIVIDEND
CB,2014-04-02,0.0,DIVIDEND
LNC,2014-04-08,0.16,DIVIDEND
MMC,2014-04-08,0.25,DIVIDEND
UNM,2014-04-24,0.145,DIVIDEND
AON,2014-04-29,0.25,DIVIDEND
MET,2014-05-07,0.35,DIVIDEND
CB,2014-05-16,0.0,DIVIDEND
ALL,2014-05-16,0.0,DIVIDEND
AFL,2014-05-19,0.37,DIVIDEND
ALL,2014-05-20,0.0,DIVIDEND
CB,2014-05-20,0.0,DIVIDEND
PRU,2014-05-22,0.53,DIVIDEND
