intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,maxAge,longTermDebt,accountsPayable,symbol,goodWill,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
11.66B,11.76B,120.71B,53.8B,16.89B,174.52B,2019-06-30,11.12B,16.62B,33.88B,12.22B,-2.95B,8.57B,1.27B,94.17B,113M,139M,601M,35.4B,102.98B,32.24B,3.81B,10.94B,1,13.68B,74.03B,CB,15.3B,,,
"11,659,000,000","11,757,000,000","120,714,000,000","53,802,000,000","16,885,000,000","174,516,000,000",,"11,121,000,000","16,624,000,000","33,878,000,000","12,224,000,000","-2,954,000,000","8,573,000,000","1,270,000,000","94,169,000,000","113,000,000","139,000,000","601,000,000","35,402,000,000","102,981,000,000","32,236,000,000","3,808,000,000","10,935,000,000",1,"13,679,000,000","74,028,000,000",CB,"15,300,000,000",,,
11388000000,12051000000,118992000000,52355000000,16376000000,171347000000,1553990400,11121000000,17354000000,32728000000,12159000000,-3545000000,8906000000,1271000000,93801000000,704000000,-770000000,608000000,34227000000,100890000000,30936000000,3078000000,9826000000,1,12379000000,73441000000,CB,15328000000,,,
11.39B,12.05B,118.99B,52.35B,16.38B,171.35B,2019-03-31,11.12B,17.35B,32.73B,12.16B,-3.54B,8.91B,1.27B,93.8B,704M,-770M,608M,34.23B,100.89B,30.94B,3.08B,9.83B,1,12.38B,73.44B,CB,15.33B,,,
"11,388,000,000","12,051,000,000","118,992,000,000","52,355,000,000","16,376,000,000","171,347,000,000",,"11,121,000,000","17,354,000,000","32,728,000,000","12,159,000,000","-3,545,000,000","8,906,000,000","1,271,000,000","93,801,000,000","704,000,000","-770,000,000","608,000,000","34,227,000,000","100,890,000,000","30,936,000,000","3,078,000,000","9,826,000,000",1,"12,379,000,000","73,441,000,000",CB,"15,328,000,000",,,
12344000000,12557000000,117459000000,50312000000,16022000000,167771000000,1546214400,11121000000,17772000000,31700000000,13685000000,-5066000000,6689000000,1247000000,91379000000,624000000,-2448000000,730000000,34654000000,98083000000,27928000000,3016000000,10075000000,1,12395000000,71389000000,CB,15271000000,,,
12.34B,12.56B,117.46B,50.31B,16.02B,167.77B,2018-12-31,11.12B,17.77B,31.7B,13.69B,-5.07B,6.69B,1.25B,91.38B,624M,-2.45B,730M,34.65B,98.08B,27.93B,3.02B,10.07B,1,12.39B,71.39B,CB,15.27B,,,
"12,344,000,000","12,557,000,000","117,459,000,000","50,312,000,000","16,022,000,000","167,771,000,000",,"11,121,000,000","17,772,000,000","31,700,000,000","13,685,000,000","-5,066,000,000","6,689,000,000","1,247,000,000","91,379,000,000","624,000,000","-2,448,000,000","730,000,000","34,654,000,000","98,083,000,000","27,928,000,000","3,016,000,000","10,075,000,000",1,"12,395,000,000","71,389,000,000",CB,"15,271,000,000",,,
11339000000,12853000000,116750000000,50934000000,15829000000,167684000000,1538265600,11121000000,16289000000,31491000000,12068000000,-4531000000,9085000000,1053000000,92225000000,500000000,-2159000000,,33588000000,98340000000,29463000000,3479000000,10193000000,1,12457000000,72339000000,CB,15332000000,,,
11.34B,12.85B,116.75B,50.93B,15.83B,167.68B,2018-09-30,11.12B,16.29B,31.49B,12.07B,-4.53B,9.09B,1.05B,92.22B,500M,-2.16B,,33.59B,98.34B,29.46B,3.48B,10.19B,1,12.46B,72.34B,CB,15.33B,,,
